    x = 0.0100000    x = 0.0200000    x = 0.0300000    x = 0.0400000    x = 0.0500000    x = 0.0600000    x = 0.0700000    x = 0.0800000    x = 0.0900000    x = 0.100000    x = 0.110000    x = 0.120000    x = 0.130000    x = 0.140000    x = 0.150000    x = 0.160000    x = 0.170000    x = 0.180000    x = 0.190000    x = 0.200000    x = 0.210000    x = 0.220000    x = 0.230000    x = 0.240000    x = 0.250000    x = 0.260000    x = 0.270000    x = 0.280000    x = 0.290000    x = 0.300000    x = 0.310000    x = 0.320000    x = 0.330000    x = 0.340000    x = 0.350000    x = 0.360000    x = 0.370000    x = 0.380000    x = 0.390000    x = 0.400000    x = 0.410000    x = 0.420000    x = 0.430000    x = 0.440000    x = 0.450000    x = 0.460000    x = 0.470000    x = 0.480000    x = 0.490000    x = 0.500000    x = 0.510000    x = 0.520000    x = 0.530000    x = 0.540000    x = 0.550000    x = 0.560000    x = 0.570000    x = 0.580000    x = 0.590000    x = 0.600000    x = 0.610000    x = 0.620000    x = 0.630000    x = 0.640000    x = 0.650000    x = 0.660000    x = 0.670000    x = 0.680000    x = 0.690000    x = 0.700000    x = 0.710000    x = 0.720000    x = 0.730000    x = 0.740000    x = 0.750000    x = 0.760000    x = 0.770000    x = 0.780000    x = 0.790000    x = 0.800000    x = 0.810000    x = 0.820000    x = 0.830000    x = 0.840000    x = 0.850000    x = 0.860000    x = 0.870000    x = 0.880000    x = 0.890000    x = 0.900000    x = 0.910000    x = 0.920000    x = 0.930000    x = 0.940000    x = 0.950000    x = 0.960000    x = 0.970000    x = 0.980000    x = 0.990000
  7.5887873E-05  0.00011507303  0.00015556955  0.00019783649  0.00024235078  0.00028961198  0.00034014715  0.00039451607  0.00045331666  0.00051719064  0.00058682967  0.00066298175  0.00074645814  0.00083814074  0.00093898998   0.0010500533   0.0011724742   0.0013075023   0.0014565035   0.0016209717   0.0018025407   0.0020029976   0.0022242968   0.0024685751   0.0027381680   0.0030356275   0.0033637402   0.0037255479   0.0041243685   0.0045638192   0.0050478404   0.0055807219   0.0061671301   0.0068121369   0.0075212505   0.0083004477   0.0091562079    0.010095548    0.011126061    0.012255954    0.013494087    0.014850017    0.016334039    0.017957229    0.019731492    0.021669603    0.023785255    0.026093102    0.028608805    0.031349075    0.034331712    0.037575649    0.041100982    0.044929007    0.049082242    0.053584452    0.058460661    0.063737156    0.069441485    0.075602438    0.082250023    0.089415419    0.097130918     0.10542985     0.11434649     0.12391592     0.13417393     0.14515680     0.15690114     0.16944366     0.18282093     0.19706906     0.21222345     0.22831836     0.24538663     0.26345918     0.28256462     0.30272879     0.32397426     0.34631978     0.36977984     0.39436406     0.42007670     0.44691613     0.47487431     0.50393637     0.53408011     0.56527572     0.59748541     0.63066330     0.66475524     0.69969890     0.73542394     0.77185227     0.80889860     0.84647099     0.88447171     0.92279816     0.96134392
  0.00091055594   0.0013756772   0.0018488494   0.0023328190   0.0028303752   0.0033443594   0.0038776767   0.0044333063   0.0050143120   0.0056238529   0.0062651944   0.0069417185   0.0076569347   0.0084144907   0.0092181829    0.010071967    0.010979969    0.011946494    0.012976038    0.014073300    0.015243187    0.016490826    0.017821576    0.019241033    0.020755043    0.022369704    0.024091380    0.025926707    0.027882595    0.029966240    0.032185124    0.034547021    0.037060001    0.039732430    0.042572972    0.045590588    0.048794533    0.052194353    0.055799882    0.059621230    0.063668780    0.067953170    0.072485287    0.077276248    0.082337383    0.087680215    0.093316436    0.099257885     0.10551652     0.11210438     0.11903356     0.12631619     0.13396434     0.14199005     0.15040525     0.15922170     0.16845096     0.17810434     0.18819283     0.19872706     0.20971723     0.22117304     0.23310366     0.24551761     0.25842278     0.27182628     0.28573442     0.30015264     0.31508543     0.33053629     0.34650765     0.36300083     0.38001594     0.39755190     0.41560632     0.43417549     0.45325433     0.47283638     0.49291373     0.51347703     0.53451545     0.55601671     0.57796704     0.60035122     0.62315258     0.64635302     0.66993306     0.69387187     0.71814735     0.74273615     0.76761375     0.79275457     0.81813200     0.84371854     0.86948587     0.89540497     0.92144621     0.94757949     0.97377432
   0.0029112291   0.0043906729   0.0058843009   0.0073968974   0.0089332701    0.010498255    0.012096724    0.013733588    0.015413801    0.017142370    0.018924355    0.020764876    0.022669115    0.024642321    0.026689817    0.028816996    0.031029329    0.033332366    0.035731739    0.038233159    0.040842423    0.043565410    0.046408082    0.049376484    0.052476741    0.055715056    0.059097711    0.062631057    0.066321515    0.070175571    0.074199767    0.078400697    0.082785000    0.087359352    0.092130455    0.097105031     0.10228981     0.10769152     0.11331687     0.11917255     0.12526520     0.13160141     0.13818769     0.14503049     0.15213612     0.15951081     0.16716062     0.17509147     0.18330912     0.19181910     0.20062677     0.20973722     0.21915532     0.22888564     0.23893247     0.24929978     0.25999120     0.27101002     0.28235914     0.29404107     0.30605789     0.31841126     0.33110239     0.34413200     0.35750033     0.37120712     0.38525159     0.39963242     0.41434775     0.42939514     0.44477163     0.46047363     0.47649700     0.49283701     0.50948832     0.52644502     0.54370059     0.56124792     0.57907933     0.59718654     0.61556072     0.63419245     0.65307179     0.67218826     0.69153083     0.71108802     0.73084784     0.75079785     0.77092517     0.79121654     0.81165829     0.83223641     0.85293659     0.87374419     0.89464437     0.91562203     0.93666189     0.95774854     0.97886645
   0.0054929744   0.0082772376    0.011077429    0.013898893    0.016746978    0.019627031    0.022544403    0.025504445    0.028512511    0.031573953    0.034694129    0.037878392    0.041132098    0.044460599    0.047869247    0.051363387    0.054948362    0.058629504    0.062412138    0.066301574    0.070303111    0.074422027    0.078663582    0.083033009    0.087535515    0.092176272    0.096960418     0.10189305     0.10697921     0.11222390     0.11763206     0.12320855     0.12895820     0.13488572     0.14099577     0.14729289     0.15378154     0.16046608     0.16735075     0.17443966     0.18173681     0.18924604     0.19697107     0.20491544     0.21308254     0.22147560     0.23009764     0.23895152     0.24803988     0.25736517     0.26692960     0.27673519     0.28678371     0.29707667     0.30761536     0.31840080     0.32943376     0.34071471     0.35224387     0.36402115     0.37604620     0.38831834     0.40083661     0.41359973     0.42660613     0.43985390     0.45334083     0.46706439     0.48102171     0.49520961     0.50962461     0.52426286     0.53912023     0.55419225     0.56947414     0.58496080     0.60064684     0.61652652     0.63259386     0.64884254     0.66526598     0.68185732     0.69860941     0.71551487     0.73256605     0.74975507     0.76707381     0.78451396     0.80206698     0.81972416     0.83747660     0.85531525     0.87323090     0.89121422     0.90925576     0.92734598     0.94547524     0.96363383     0.98181202
   0.0080541081    0.012130895    0.016222518    0.020333946    0.024470136    0.028636035    0.032836578    0.037076679    0.041361237    0.045695128    0.050083204    0.054530289    0.059041178    0.063620636    0.068273390    0.073004130    0.077817505    0.082718118    0.087710528    0.092799238    0.097988703     0.10328331     0.10868741     0.11420525     0.11984104     0.12559890     0.13148289     0.13749697     0.14364503     0.14993087     0.15635819     0.16293060     0.16965160     0.17652460     0.18355288     0.19073961     0.19808785     0.20560054     0.21328047     0.22113032     0.22915261     0.23734974     0.24572395     0.25427733     0.26301183     0.27192922     0.28103111     0.29031896     0.29979404     0.30945746     0.31931012     0.32935277     0.33958597     0.35001007     0.36062525     0.37143148     0.38242854     0.39361601     0.40499326     0.41655946     0.42831358     0.44025437     0.45238040     0.46468999     0.47718129     0.48985221     0.50270048     0.51572359     0.52891885     0.54228334     0.55581397     0.56950742     0.58336016     0.59736850     0.61152852     0.62583614     0.64028706     0.65487683     0.66960079     0.68445414     0.69943188     0.71452886     0.72973980     0.74505921     0.76048152     0.77600097     0.79161171     0.80730774     0.82308296     0.83893115     0.85484601     0.87082112     0.88685002     0.90292613     0.91904283     0.93519344     0.95137124     0.96756947     0.98378132
    0.010312737    0.015528602    0.020757170    0.026002688    0.031269393    0.036561507    0.041883232    0.047238750    0.052632218    0.058067767    0.063549494    0.069081465    0.074667708    0.080312212    0.086018922    0.091791737    0.097634507     0.10355103     0.10954504     0.11562023     0.12178022     0.12802855     0.13436873     0.14080415     0.14733817     0.15397405     0.16071496     0.16756400     0.17452419     0.18159845     0.18878959     0.19610035     0.20353336     0.21109114     0.21877612     0.22659061     0.23453681     0.24261681     0.25083258     0.25918597     0.26767871     0.27631240     0.28508851     0.29400841     0.30307329     0.31228424     0.32164221     0.33114800     0.34080227     0.35060556     0.36055824     0.37066056     0.38091259     0.39131428     0.40186543     0.41256569     0.42341454     0.43441133     0.44555526     0.45684536     0.46828054     0.47985952     0.49158090     0.50344313     0.51544448     0.52758310     0.53985698     0.55226398     0.56480180     0.57746799     0.59025998     0.60317505     0.61621034     0.62936287     0.64262950     0.65600701     0.66949200     0.68308100     0.69677037     0.71055639     0.72443522     0.73840292     0.75245543     0.76658861     0.78079822     0.79507992     0.80942930     0.82384186     0.83831305     0.85283821     0.86741264     0.88203160     0.89669026     0.91138377     0.92610723     0.94085569     0.95562420     0.97040776     0.98520137
    0.012197253    0.018363207    0.024539608    0.030729946    0.036937703    0.043166345    0.049419320    0.055700057    0.062011958    0.068358403    0.074742739    0.081168285    0.087638322    0.094156094     0.10072480     0.10734761     0.11402763     0.12076793     0.12757151     0.13444134     0.14138032     0.14839129     0.15547703     0.16264025     0.16988359     0.17720964     0.18462089     0.19211977     0.19970864     0.20738975     0.21516531     0.22303740     0.23100806     0.23907920     0.24725266     0.25553019     0.26391342     0.27240393     0.28100315     0.28971244     0.29853305     0.30746612     0.31651271     0.32567373     0.33495003     0.34434232     0.35385120     0.36347717     0.37322062     0.38308183     0.39306093     0.40315799     0.41337293     0.42370556     0.43415559     0.44472259     0.45540603     0.46620526     0.47711952     0.48814793     0.49928950     0.51054312     0.52190756     0.53338151     0.54496350     0.55665199     0.56844532     0.58034171     0.59233928     0.60443606     0.61662995     0.62891878     0.64130025     0.65377199     0.66633152     0.67897626     0.69170357     0.70451069     0.71739479     0.73035297     0.74338222     0.75647949     0.76964164     0.78286545     0.79614765     0.80948490     0.82287381     0.83631093     0.84979274     0.86331570     0.87687621     0.89047063     0.90409529     0.91774648     0.93142046     0.94511348     0.95882174     0.97254146     0.98626882
    0.013727566    0.020664907    0.027610669    0.034567667    0.041538706    0.048526577    0.055534058    0.062563907    0.069618863    0.076701642    0.083814935    0.090961405    0.098143685     0.10536438     0.11262604     0.11993122     0.12728239     0.13468199     0.14213245     0.14963610     0.15719527     0.16481219     0.17248909     0.18022811     0.18803134     0.19590081     0.20383850     0.21184631     0.21992608     0.22807961     0.23630858     0.24461465     0.25299938     0.26146425     0.27001070     0.27864005     0.28735359     0.29615248     0.30503783     0.31401067     0.32307193     0.33222248     0.34146307     0.35079440     0.36021707     0.36973158     0.37933836     0.38903775     0.39882998     0.40871521     0.41869352     0.42876486     0.43892914     0.44918615     0.45953558     0.46997705     0.48051009     0.49113414     0.50184852     0.51265252     0.52354528     0.53452588     0.54559334     0.55674653     0.56798430     0.57930538     0.59070841     0.60219198     0.61375457     0.62539460     0.63711040     0.64890023     0.66076227     0.67269464     0.68469537     0.69676243     0.70889373     0.72108710     0.73334032     0.74565111     0.75801712     0.77043594     0.78290513     0.79542218     0.80798453     0.82058958     0.83323469     0.84591716     0.85863429     0.87138329     0.88416139     0.89696575     0.90979354     0.92264186     0.93550784     0.94838855     0.96128106     0.97418245     0.98708974
    0.014953431    0.022508642    0.030070574    0.037641474    0.045223578    0.052819115    0.060430300    0.068059331    0.075708393    0.083379650    0.091075246    0.098797303     0.10654792     0.11432916     0.12214306     0.12999165     0.13787689     0.14580073     0.15376508     0.16177180     0.16982272     0.17791964     0.18606430     0.19425839     0.20250357     0.21080145     0.21915357     0.22756145     0.23602653     0.24455021     0.25313383     0.26177868     0.27048598     0.27925690     0.28809255     0.29699396     0.30596213     0.31499797     0.32410233     0.33327601     0.34251973     0.35183413     0.36121981     0.37067729     0.38020701     0.38980936     0.39948465     0.40923311     0.41905492     0.42895018     0.43891890     0.44896106     0.45907652     0.46926512     0.47952658     0.48986059     0.50026674     0.51074457     0.52129353     0.53191302     0.54260236     0.55336080     0.56418754     0.57508169     0.58604231     0.59706837     0.60815882     0.61931250     0.63052822     0.64180471     0.65314065     0.66453466     0.67598530     0.68749108     0.69905044     0.71066178     0.72232345     0.73403374     0.74579090     0.75759313     0.76943859     0.78132539     0.79325161     0.80521526     0.81721436     0.82924685     0.84131068     0.85340372     0.86552385     0.87766890     0.88983670     0.90202503     0.91423166     0.92645434     0.93869082     0.95093881     0.96319602     0.97546016     0.98772892
    0.015928601    0.023975304    0.032027344    0.040086503    0.048154559    0.056233279    0.064324421    0.072429732    0.080550943    0.088689773    0.096847923     0.10502707     0.11322889     0.12145501     0.12970705     0.13798661     0.14629525     0.15463451     0.16300590     0.17141091     0.17985097     0.18832750     0.19684189     0.20539547     0.21398955     0.22262539     0.23130423     0.24002725     0.24879559     0.25761035     0.26647259     0.27538332     0.28434351     0.29335406     0.30241585     0.31152970     0.32069637     0.32991659     0.33919102     0.34852027     0.35790491     0.36734545     0.37684233     0.38639597     0.39600670     0.40567483     0.41540057     0.42518412     0.43502559     0.44492505     0.45488253     0.46489796     0.47497125     0.48510225     0.49529073     0.50553644     0.51583905     0.52619817     0.53661338     0.54708419     0.55761005     0.56819036     0.57882448     0.58951171     0.60025129     0.61104241     0.62188422     0.63277582     0.64371626     0.65470452     0.66573958     0.67682032     0.68794561     0.69911428     0.71032509     0.72157678     0.73286805     0.74419754     0.75556389     0.76696566     0.77840142     0.78986966     0.80136887     0.81289751     0.82445399     0.83603672     0.84764405     0.85927434     0.87092591     0.88259705     0.89428605     0.90599118     0.91771068     0.92944279     0.94118573     0.95293771     0.96469694     0.97646160     0.98822989
